course_id,id,component_type,frequency,week_pattern,number_per_week,allowed_days,allowed_periods,sections_min,sections_max,section_cap_min,section_cap_max
MATH10001,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH10001,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH10001,fws,workshop,fortnightly,even_weeks,1,,,1,1,0,999
MATH10002,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH10002,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH10002,fws,workshop,fortnightly,even_weeks,1,,,1,1,0,999
MATH10003,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH10003,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH10003,fws,workshop,fortnightly,even_weeks,1,,,1,1,0,999
MATH10004,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH10004,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH10004,fws,workshop,fortnightly,even_weeks,1,,,1,1,0,999
MATH10005,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH10005,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH10005,fws,workshop,fortnightly,even_weeks,1,,,1,1,0,999
MATH10006,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH10006,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH10006,fws,workshop,fortnightly,even_weeks,1,,,1,1,0,999
MATH10007,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH10007,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH10007,fws,workshop,fortnightly,even_weeks,1,,,1,1,0,999
MATH10008,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH10008,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH10008,fws,workshop,fortnightly,even_weeks,1,,,1,1,0,999

MATH20001,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH20001,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH20002,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH20002,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH20003,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH20003,Ws,workshop,weekly,every_week,1,,,1,1,0,999
MATH20004,Lec,lecture,weekly,every_week,3,,,1,1,0,999
MATH20004,Ws,workshop,weekly,every_week,1,,,1,1,0,999



CS30001,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
CS30001,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
CS30001,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
CS30002,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
CS30002,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
CS30002,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

CS30003,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
CS30003,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
CS30003,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
CS30004,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
CS30004,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
CS30004,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999

CS30005,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
CS30005,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
CS30005,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
CS30006,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
CS30006,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
CS30006,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

CS30007,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
CS30007,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
CS30007,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
CS30008,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
CS30008,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
CS30008,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999



PHYS30001,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
PHYS30001,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
PHYS30001,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
PHYS30002,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
PHYS30002,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
PHYS30002,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

PHYS30003,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
PHYS30003,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
PHYS30003,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
PHYS30004,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
PHYS30004,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
PHYS30004,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999

PHYS30005,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
PHYS30005,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
PHYS30005,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
PHYS30006,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
PHYS30006,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
PHYS30006,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

PHYS30007,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
PHYS30007,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
PHYS30007,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
PHYS30008,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
PHYS30008,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
PHYS30008,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999



ECON30001,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
ECON30001,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
ECON30001,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
ECON30002,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
ECON30002,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
ECON30002,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

ECON30003,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
ECON30003,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
ECON30003,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
ECON30004,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
ECON30004,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
ECON30004,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999

ECON30005,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
ECON30005,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
ECON30005,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
ECON30006,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
ECON30006,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
ECON30006,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

ECON30007,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
ECON30007,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
ECON30007,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
ECON30008,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
ECON30008,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
ECON30008,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999



BUS30001,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
BUS30001,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
BUS30001,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
BUS30002,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
BUS30002,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
BUS30002,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

BUS30003,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
BUS30003,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
BUS30003,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
BUS30004,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
BUS30004,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
BUS30004,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999

BUS30005,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
BUS30005,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
BUS30005,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999
BUS30006,Lec,lecture,weekly,every_week,3,0;1;2,4,1,1,0,999
BUS30006,Ws,workshop,weekly,every_week,1,3,4,1,1,0,999
BUS30006,fws,workshop,fortnightly,even_weeks,1,4,4,1,1,0,999

BUS30007,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
BUS30007,Ws,workshop,weekly,every_week,1,1,4,1,1,0,999
BUS30007,fws,workshop,fortnightly,even_weeks,1,0,4,1,1,0,999
BUS30008,Lec,lecture,weekly,every_week,3,2;3;4,4,1,1,0,999
