id,programme,year,compulsory_course_ids,desired_course_ids,banned_course_ids,number_students
MATH,single,3,,MATH10001;MATH10002;MATH10003;MATH10005;MATH20001,,150

CS,joint_cs,3,MATH10001;MATH20001;CS30008;CS30004;CS30006,MATH10004;MATH10005;MATH10006;MATH10007;MATH10008,20

PHYS,joint_phys,3,MATH10002;MATH20003,MATH10001;MATH10003;MATH10005;PHYS30001;PHYS30002,,20

ECON,joint_econ,3,MATH10007;MATH10008;MATH10001;MATH10003,MATH10001;MATH10004;MATH10007;ECON30001;ECON30002,,20

BUS,joint_bus,3,BUS30001;BUS30002;BUS30003;BUS30004;BUS30005;BUS30006;BUS30007;BUS30008,MATH10002;MATH10005;MATH10006;BUS30001;BUS30002,,10

PHIL,joint_phil,3,MATH10005;MATH10004;MATH20004,MATH10001;MATH10003;MATH10006;PHIL30001;PHIL30002,,20
