id,kind,credits,name,cap_min,cap_max,allowed_years,allowed_semesters,forbidden_timeslot_ids
MATH10001,gateway,20,Gateway 1,0,999,,,
MATH10002,gateway,20,Gateway 2,0,999,,,
MATH10003,gateway,20,Gateway 3,0,999,,,
MATH10004,gateway,20,Gateway 4,0,999,,,
MATH10005,gateway,20,Gateway 5,0,999,,,
MATH10006,gateway,20,Gateway 6,0,999,,,
MATH10007,gateway,20,Gateway 7,0,999,,,
MATH10008,gateway,20,Gateway 8,0,999,,,

MATH20001,optional,20,Optional 1,0,999,,,
MATH20002,optional,20,Optional 2,0,999,,,
MATH20003,optional,20,Optional 3,0,999,,,
MATH20004,optional,20,Optional 4,0,999,,,

CS30001,outside,20,Computer Science 1,0,999,3;4,1,
CS30002,outside,20,Computer Science 2,0,999,3;4,1,
CS30003,outside,20,Computer Science 3,0,999,3;4,2,
CS30004,outside,20,Computer Science 4,0,999,3;4,2,
CS30005,outside,20,Computer Science 5,0,999,3;4,1,
CS30006,outside,20,Computer Science 6,0,999,3;4,1,
CS30007,outside,20,Computer Science 7,0,999,3;4,2,
CS30008,outside,20,Computer Science 8,0,999,3;4,2,

PHYS30001,outside,20,Physics 1,0,999,3;4,1,
PHYS30002,outside,20,Physics 2,0,999,3;4,1,
PHYS30003,outside,20,Physics 3,0,999,3;4,2,
PHYS30004,outside,20,Physics 4,0,999,3;4,2,
PHYS30005,outside,20,Physics 5,0,999,3;4,1,
PHYS30006,outside,20,Physics 6,0,999,3;4,1,
PHYS30007,outside,20,Physics 7,0,999,3;4,2,
PHYS30008,outside,20,Physics 8,0,999,3;4,2,

ECON30001,outside,20,Economics 1,0,999,3;4,1,
ECON30002,outside,20,Economics 2,0,999,3;4,1,
ECON30003,outside,20,Economics 3,0,999,3;4,2,
ECON30004,outside,20,Economics 4,0,999,3;4,2,
ECON30005,outside,20,Economics 5,0,999,3;4,1,
ECON30006,outside,20,Economics 6,0,999,3;4,1,
ECON30007,outside,20,Economics 7,0,999,3;4,2,
ECON30008,outside,20,Economics 8,0,999,3;4,2,

BUS30001,outside,20,Business 1,0,999,3;4,1,
BUS30002,outside,20,Business 2,0,999,3;4,1,
BUS30003,outside,20,Business 3,0,999,3;4,2,
BUS30004,outside,20,Business 4,0,999,3;4,2,
BUS30005,outside,20,Business 5,0,999,3;4,1,
BUS30006,outside,20,Business 6,0,999,3;4,1,
BUS30007,outside,20,Business 7,0,999,3;4,2,
BUS30008,outside,20,Business 8,0,999,3;4,2,

PHIL30001,outside,20,Philosophy 1,0,999,3;4,1,
PHIL30002,outside,20,Philosophy 2,0,999,3;4,1,
PHIL30003,outside,20,Philosophy 3,0,999,3;4,2,
PHIL30004,outside,20,Philosophy 4,0,999,3;4,2,
PHIL30005,outside,20,Philosophy 5,0,999,3;4,1,
PHIL30006,outside,20,Philosophy 6,0,999,3;4,1,
PHIL30007,outside,20,Philosophy 7,0,999,3;4,2,
PHIL30008,outside,20,Philosophy 8,0,999,3;4,2,
