course_id,id,component_type,frequency,week_pattern,number_per_week,allowed_days,allowed_periods,sections_min,sections_max,section_cap_min,section_cap_max
G1,Lec,lecture,weekly,every_week,3,0;1;2,0;1;2;3;4,1,1,0,999
G1,Ws,workshop,weekly,every_week,1,3;4,5;6,2,2,0,100
G1,Ws,workshop,fortnightly,even_weeks,1,2;4,7;8,2,2,0,100
G2,Lec,lecture,weekly,every_week,3,0;1;2,0;1;2;3;4,1,1,0,999
G2,Ws,workshop,weekly,every_week,1,3;4,5;6,2,2,0,100
G2,Ws,workshop,fortnightly,odd_weeks,1,1;3,7;8,2,2,0,100
G3,Lec,lecture,weekly,every_week,3,0;1;2,0;1;2;3;4,1,1,0,999
G3,Ws,workshop,weekly,every_week,1,3;4,7;8,2,2,0,100
G3,Ws,workshop,fortnightly,even_weeks,1,0;2,3;5,2,2,0,100
G4,Lec,lecture,weekly,every_week,3,0;1;2,0;1;2;3;4,1,1,0,999
G4,Ws,workshop,weekly,every_week,1,3;4,7;8,2,2,0,100
G4,Ws,workshop,fortnightly,odd_weeks,1,1;4,2;4,2,2,0,100
G5,Lec,lecture,weekly,every_week,3,2;3;4,4;5;6;7,1,1,0,999
G5,Ws,workshop,weekly,every_week,1,1;2,4,2,2,0,100
G5,Ws,workshop,fortnightly,odd_weeks,1,2;3,5;6,2,2,0,100
G6,Lec,lecture,weekly,every_week,3,2;3;4,4;5;6;7,1,1,0,999
G6,Ws,workshop,weekly,every_week,1,1;2,4,2,2,0,100
G6,Ws,workshop,fortnightly,odd_weeks,1,1;2,7;8,2,2,0,100
G7,Lec,lecture,weekly,every_week,3,2;3;4,4;5;6;7,1,1,0,999
G7,Ws,workshop,weekly,every_week,1,1;2,4,2,2,0,100
G7,Ws,workshop,fortnightly,even_weeks,1,0;4,1;6,2,2,0,100
G8,Lec,lecture,weekly,every_week,3,3;4,4;5;6;7,1,1,0,999
G8,Ws,workshop,weekly,every_week,1,1;2,4,2,2,0,100
G8,Ws,workshop,fortnightly,even_weeks,1,3;4,3;7,2,2,0,100
O1,Lec,lecture,weekly,every_week,3,2;3,,1,1,0,999
O1,Ws,workshop,weekly,every_week,1,4,4;5;6,2,2,0,100
O2,Lec,lecture,weekly,every_week,3,1;2;4,0;8,1,1,0,999
O2,Ws,workshop,weekly,every_week,1,3,6;7;8,2,2,0,100
O3,Lec,lecture,weekly,every_week,3,1;2;3,7;8,1,1,0,999
O3,Ws,workshop,weekly,every_week,1,2,0;2;4,2,2,0,100
O4,Lec,lecture,weekly,every_week,3,0;1,0;6,1,1,0,999
O4,Ws,workshop,weekly,every_week,1,1,5;7,2,2,0,100
X1,Lec,lecture,weekly,every_week,3,0;2;4,4;6,1,1,0,999
X1,Ws,workshop,weekly,every_week,1,2;3,6;7,2,2,0,80
X1,Ws,workshop,fortnightly,odd_weeks,1,1;2,4,2,2,0,80
X2,Lec,lecture,weekly,every_week,3,1;3;4,2;3,1,1,0,999
X2,Ws,workshop,weekly,every_week,1,2;3,6;7,2,2,0,80
X2,Ws,workshop,fortnightly,even_weeks,1,1;2,4,2,2,0,80
X3,Lec,lecture,weekly,every_week,4,1;2;3,1;2,1,1,0,999
X3,Ws,workshop,weekly,every_week,1,3;4,6;7,2,2,0,80
X3,Ws,workshop,fortnightly,even_weeks,1,1;2,4,2,2,0,80
X4,Lec,lecture,weekly,every_week,2,3;4;5,0;4,1,1,0,999
X4,Ws,workshop,weekly,every_week,1,3;4,6;7,2,2,0,80
X4,Ws,workshop,fortnightly,even_weeks,1,1;2,4,2,2,0,80
X5,Lec,lecture,weekly,every_week,3,1;4;5,3;7,1,1,0,999
X5,Ws,workshop,weekly,every_week,1,0;1,6,2,2,0,80
X6,Lec,lecture,weekly,every_week,3,,7;8,1,1,0,999
X6,Ws,workshop,weekly,every_week,1,0;4,6,2,2,0,80
X7,Lec,lecture,weekly,every_week,3,,6;7;8,1,1,0,999
X7,Ws,workshop,weekly,every_week,1,,5,2,2,0,80
X8,Lec,lecture,weekly,every_week,3,,5;6;7;8,1,1,0,999
X8,Ws,workshop,weekly,every_week,1,,5,2,2,0,80
