id,kind,credits,name,cap_min,cap_max,allowed_years,allowed_semesters,forbidden_timeslot_ids
MATH_GW01,gateway,20,MATH_GW01,0,999,,1,
MATH_GW02,gateway,20,MATH_GW02,0,999,,1,
MATH_GW03,gateway,20,MATH_GW03,0,999,,1,
MATH_GW04,gateway,20,MATH_GW04,0,999,,1,
MATH_GW05,gateway,20,MATH_GW05,0,999,,2,
MATH_GW06,gateway,20,MATH_GW06,0,999,,2,
MATH_GW07,gateway,20,MATH_GW07,0,999,,2,
MATH_GW08,gateway,20,MATH_GW08,0,999,,2,
MATH_OP01,optional,20,MATH_OP01,0,999,,1,
MATH_OP02,optional,20,MATH_OP02,0,999,,1,
MATH_OP03,optional,20,MATH_OP03,0,999,,2,
MATH_OP04,optional,20,MATH_OP04,0,999,,2,
PHYS_A_S1Y3,outside,20,Quantum Mechanics SEM1 Y3,0,999,3,1,
PHYS_B_S1Y3,outside,20,Thermal Physics SEM1 Y3,0,999,3,1,
PHYS_C_S2Y3,outside,20,Electromagnetism SEM2 Y3,0,999,3,2,
PHYS_D_S2Y3,outside,20,Optics and Waves SEM2 Y3,0,999,3,2,
PHYS_A_S1Y4,outside,20,Quantum Mechanics SEM1 Y4,0,999,4,1,
PHYS_B_S1Y4,outside,20,Thermal Physics SEM1 Y4,0,999,4,1,
PHYS_C_S2Y4,outside,20,Electromagnetism SEM2 Y4,0,999,4,2,
PHYS_D_S2Y4,outside,20,Optics and Waves SEM2 Y4,0,999,4,2,
ECON_A_S1Y3,outside,20,Topics in Microeconomics SEM1 Y3,0,999,3,1,
ECON_B_S1Y3,outside,20,Essentials of Econometrics SEM1 Y3,0,999,3,1,
ECON_C_S2Y3,outside,20,Development Economics SEM2 Y3,0,999,3,2,
ECON_D_S2Y3,outside,20,International Trade SEM2 Y3,0,999,3,2,
ECON_A_S1Y4,outside,20,Topics in Microeconomics SEM1 Y4,0,999,4,1,
ECON_B_S1Y4,outside,20,Essentials of Econometrics SEM1 Y4,0,999,4,1,
ECON_C_S2Y4,outside,20,Development Economics SEM2 Y4,0,999,4,2,
ECON_D_S2Y4,outside,20,International Trade SEM2 Y4,0,999,4,2,
BUS_A_S1Y3,outside,20,Strategic Management SEM1 Y3,0,999,3,1,
BUS_B_S1Y3,outside,20,Marketing Strategy SEM1 Y3,0,999,3,1,
BUS_C_S2Y3,outside,20,Business Finance SEM2 Y3,0,999,3,2,
BUS_D_S2Y3,outside,20,Organisational Behaviour SEM2 Y3,0,999,3,2,
BUS_A_S1Y4,outside,20,Strategic Management SEM1 Y4,0,999,4,1,
BUS_B_S1Y4,outside,20,Marketing Strategy SEM1 Y4,0,999,4,1,
BUS_C_S2Y4,outside,20,Business Finance SEM2 Y4,0,999,4,2,
BUS_D_S2Y4,outside,20,Organisational Behaviour SEM2 Y4,0,999,4,2,
CS_A_S1Y3,outside,20,Machine Learning SEM1 Y3,0,999,3,1,
CS_B_S1Y3,outside,20,Computer Systems SEM1 Y3,0,999,3,1,
CS_C_S2Y3,outside,20,Software Engineering SEM2 Y3,0,999,3,2,
CS_D_S2Y3,outside,20,Database Systems SEM2 Y3,0,999,3,2,
CS_A_S1Y4,outside,20,Machine Learning SEM1 Y4,0,999,4,1,
CS_B_S1Y4,outside,20,Computer Systems SEM1 Y4,0,999,4,1,
CS_C_S2Y4,outside,20,Software Engineering SEM2 Y4,0,999,4,2,
CS_D_S2Y4,outside,20,Database Systems SEM2 Y4,0,999,4,2,
PHIL_A_S1Y3,outside,20,Epistemology SEM1 Y3,0,999,3,1,
PHIL_B_S1Y3,outside,20,Logic and Metaphysics SEM1 Y3,0,999,3,1,
PHIL_C_S2Y3,outside,20,Philosophy of Mind SEM2 Y3,0,999,3,2,
PHIL_D_S2Y3,outside,20,Ethics and Society SEM2 Y3,0,999,3,2,
PHIL_A_S1Y4,outside,20,Epistemology SEM1 Y4,0,999,4,1,
PHIL_B_S1Y4,outside,20,Logic and Metaphysics SEM1 Y4,0,999,4,1,
PHIL_C_S2Y4,outside,20,Philosophy of Mind SEM2 Y4,0,999,4,2,
PHIL_D_S2Y4,outside,20,Ethics and Society SEM2 Y4,0,999,4,2,
