course_id,id,component_type,frequency,week_pattern,number_per_week,allowed_days,allowed_periods,allowed_timeslots,sections_min,sections_max,section_cap_min,section_cap_max
MATH10066,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10066,Ws,workshop,weekly,every_week,1,,,,1,3,0,100
MATH10066,fws,workshop,fortnightly,even_weeks,1,,,,1,3,0,100
MATH10068,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10068,Ws,workshop,weekly,every_week,1,,,,1,3,0,100
MATH10068,fws,workshop,fortnightly,even_weeks,1,,,,1,3,0,100
MATH10072,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10072,Ws,workshop,weekly,every_week,1,,,,1,3,0,100
MATH10072,fws,workshop,fortnightly,even_weeks,1,,,,1,3,0,100
MATH10082,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10082,Ws,workshop,weekly,every_week,1,,,,1,3,0,100
MATH10082,fws,workshop,fortnightly,even_weeks,1,,,,1,1,0,999
MATH10067,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10067,Ws,workshop,weekly,every_week,1,,,,1,3,0,100
MATH10067,fws,workshop,fortnightly,even_weeks,1,,,,1,3,0,100
MATH10069,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10069,Ws,workshop,weekly,every_week,1,,,,1,3,0,100
MATH10069,fws,workshop,fortnightly,even_weeks,1,,,,1,3,0,100
MATH10071,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10071,Ws,workshop,weekly,every_week,1,,,,1,3,0,100
MATH10071,fws,workshop,fortnightly,even_weeks,1,,,,1,3,0,100
MATH10101,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10101,Ws,workshop,weekly,every_week,1,,,,1,3,0,100
MATH10101,fws,workshop,fortnightly,even_weeks,1,,,,1,3,0,100
MATH10028,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10028,Ws,workshop,weekly,every_week,1,,,,1,1,0,999
MATH10065,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10065,Ws,workshop,weekly,every_week,1,,,,1,1,0,999
MATH10051,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10051,Ws,workshop,weekly,every_week,1,,,,1,1,0,999
MATH10080,Lec,lecture,weekly,every_week,3,,,,1,1,0,999
MATH10080,Ws,workshop,weekly,every_week,1,,,,1,1,0,999

PHYS_A_S1Y3,Lec,lecture,weekly,every_week,3,,,0:8;1:4;4:6,1,1,0,999
PHYS_A_S1Y3,Ws,workshop,weekly,every_week,1,,,3:7,1,1,0,999
PHYS_A_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,2:1,1,1,0,999
PHYS_B_S1Y3,Lec,lecture,weekly,every_week,3,,,3:2;2:8;4:3,1,1,0,999
PHYS_B_S1Y3,Ws,workshop,weekly,every_week,1,,,2:6,1,1,0,999
PHYS_B_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,1:0,1,1,0,999

PHYS_C_S2Y3,Lec,lecture,weekly,every_week,3,,,4:0;0:2;1:6,1,1,0,999
PHYS_C_S2Y3,Ws,workshop,weekly,every_week,1,,,2:4,1,1,0,999
PHYS_C_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,3:7,1,1,0,999
PHYS_D_S2Y3,Lec,lecture,weekly,every_week,3,,,0:0;1:3;2:8,1,1,0,999
PHYS_D_S2Y3,Ws,workshop,weekly,every_week,1,,,2:1,1,1,0,999
PHYS_D_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,4:5,1,1,0,999

PHYS_C_S2Y4,Lec,lecture,weekly,every_week,3,,,3:0;4:2;0:6,1,1,0,999
PHYS_C_S2Y4,Ws,workshop,weekly,every_week,1,,,1:4,1,1,0,999
PHYS_C_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,2:7,1,1,0,999
PHYS_D_S2Y4,Lec,lecture,weekly,every_week,3,,,4:0;0:3;1:8,1,1,0,999
PHYS_D_S2Y4,Ws,workshop,weekly,every_week,1,,,1:1,1,1,0,999
PHYS_D_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,3:5,1,1,0,999

PHYS_A_S1Y4,Lec,lecture,weekly,every_week,3,,,0:1;2:0;1:5,1,1,0,999
PHYS_A_S1Y4,Ws,workshop,weekly,every_week,1,,,2:2,1,1,0,999
PHYS_A_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,3:6,1,1,0,999
PHYS_B_S1Y4,Lec,lecture,weekly,every_week,3,,,1:1;3:0;4:2,1,1,0,999
PHYS_B_S1Y4,Ws,workshop,weekly,every_week,1,,,0:6,1,1,0,999
PHYS_B_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,2:7,1,1,0,999


ECON_A_S1Y3,Lec,lecture,weekly,every_week,3,,,0:2;1:7;2:1,1,1,0,999
ECON_A_S1Y3,Ws,workshop,weekly,every_week,1,,,4:1,1,1,0,999
ECON_A_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,1:8,1,1,0,999
ECON_B_S1Y3,Lec,lecture,weekly,every_week,3,,,1:3;2:4;4:3,1,1,0,999
ECON_B_S1Y3,Ws,workshop,weekly,every_week,1,,,0:3,1,1,0,999
ECON_B_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,4:4,1,1,0,999

ECON_A_S1Y4,Lec,lecture,weekly,every_week,3,,,1:0;2:2;3:6,1,1,0,999
ECON_A_S1Y4,Ws,workshop,weekly,every_week,1,,,4:4,1,1,0,999
ECON_A_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,0:7,1,1,0,999
ECON_B_S1Y4,Lec,lecture,weekly,every_week,3,,,2:0;3:3;4:8,1,1,0,999
ECON_B_S1Y4,Ws,workshop,weekly,every_week,1,,,0:1,1,1,0,999
ECON_B_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,1:5,1,1,0,999

ECON_C_S2Y4,Lec,lecture,weekly,every_week,3,,,0:1;2:0;1:5,1,1,0,999
ECON_C_S2Y4,Ws,workshop,weekly,every_week,1,,,2:2,1,1,0,999
ECON_C_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,3:6,1,1,0,999
ECON_D_S2Y4,Lec,lecture,weekly,every_week,3,,,1:1;3:0;4:2,1,1,0,999
ECON_D_S2Y4,Ws,workshop,weekly,every_week,1,,,0:6,1,1,0,999
ECON_D_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,2:7,1,1,0,999

ECON_C_S2Y3,Lec,lecture,weekly,every_week,3,,,0:8;1:4;4:5,1,1,0,999
ECON_C_S2Y3,Ws,workshop,weekly,every_week,1,,,3:7,1,1,0,999
ECON_C_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,2:1,1,1,0,999
ECON_D_S2Y3,Lec,lecture,weekly,every_week,3,,,3:2;2:8;4:2,1,1,0,999
ECON_D_S2Y3,Ws,workshop,weekly,every_week,1,,,2:6,1,1,0,999
ECON_D_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,1:0,1,1,0,999


BUS_A_S1Y3,Lec,lecture,weekly,every_week,3,,,0:0;1:2;2:6,1,1,0,999
BUS_A_S1Y3,Ws,workshop,weekly,every_week,1,,,3:4,1,1,0,999
BUS_A_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,4:7,1,1,0,999
BUS_B_S1Y3,Lec,lecture,weekly,every_week,3,,,1:0;2:3;3:8,1,1,0,999
BUS_B_S1Y3,Ws,workshop,weekly,every_week,1,,,3:1,1,1,0,999
BUS_B_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,0:5,1,1,0,999

BUS_C_S2Y3,Lec,lecture,weekly,every_week,3,,,2:1;4:0;3:5,1,1,0,999
BUS_C_S2Y3,Ws,workshop,weekly,every_week,1,,,4:2,1,1,0,999
BUS_C_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,0:6,1,1,0,999
BUS_D_S2Y3,Lec,lecture,weekly,every_week,3,,,3:1;0:0;1:2,1,1,0,999
BUS_D_S2Y3,Ws,workshop,weekly,every_week,1,,,2:6,1,1,0,999
BUS_D_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,4:7,1,1,0,999

BUS_A_S1Y4,Lec,lecture,weekly,every_week,3,,,0:4;3:3;4:0,1,1,0,999
BUS_A_S1Y4,Ws,workshop,weekly,every_week,1,,,1:6,1,1,0,999
BUS_A_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,2:5,1,1,0,999
BUS_B_S1Y4,Lec,lecture,weekly,every_week,3,,,1:1;4:8;0:7,1,1,0,999
BUS_B_S1Y4,Ws,workshop,weekly,every_week,1,,,1:2,1,1,0,999
BUS_B_S1Y4,fws,workshop,fortnightly,even_weeks,1,,,3:5,1,1,0,999

BUS_C_S2Y4,Lec,lecture,weekly,every_week,3,,,0:2;1:7;2:1,1,1,0,999
BUS_C_S2Y4,Ws,workshop,weekly,every_week,1,,,4:1,1,1,0,999
BUS_C_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,1:8,1,1,0,999
BUS_D_S2Y4,Lec,lecture,weekly,every_week,3,,,1:3;2:4;4:3,1,1,0,999
BUS_D_S2Y4,Ws,workshop,weekly,every_week,1,,,0:3,1,1,0,999
BUS_D_S2Y4,fws,workshop,fortnightly,even_weeks,1,,,4:4,1,1,0,999


CS_A_S1Y3,Lec,lecture,weekly,every_week,3,,,0:1;2:0;1:5,1,1,0,999
CS_A_S1Y3,Ws,workshop,weekly,every_week,1,,,2:2,1,1,0,999
CS_A_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,3:6,1,1,0,999
CS_B_S1Y3,Lec,lecture,weekly,every_week,3,,,1:1;3:0;4:2,1,1,0,999
CS_B_S1Y3,Ws,workshop,weekly,every_week,1,,,0:6,1,1,0,999
CS_B_S1Y3,fws,workshop,fortnightly,even_weeks,1,,,2:7,1,1,0,999

CS_C_S2Y3,Lec,lecture,weekly,every_week,3,,,0:4;3:3;4:0,1,1,0,999
CS_C_S2Y3,Ws,workshop,weekly,every_week,1,,,1:6,1,1,0,999
CS_C_S2Y3,fws,workshop,fortnightly,even_weeks,1,,,2:5,1,1,0,999
