id,kind,credits,name,cap_min,cap_max,allowed_years,allowed_semesters,forbidden_timeslot_ids
MATH10066,gateway,20,Honours Differential Equations,0,999,,1,
MATH10068,gateway,20,Honours Analysis,0,999,,1,
MATH10072,gateway,20,Combinatorics and Graph Theory,0,999,,1,
MATH10082,gateway,20,Linear Analysis,0,999,,1,
MATH10067,gateway,20,Honours Complex Variables,0,999,,2,
MATH10069,gateway,20,Honours Algebra,0,999,,2,
MATH10071,gateway,20,Introduction to Number Theory,0,999,,2,
MATH10101,gateway,20,Metric Spaces,0,999,,2,
MATH10028,optional,20,Theory of Statistical Inference,0,999,,1,
MATH10065,optional,20,Fundamentals of Operational Research,0,999,,1,
MATH10051,optional,20,Fourier Analysis,0,999,,2,
MATH10080,optional,20,Galois Theory,0,999,,2,
PHYS_A_S1Y3,outside,20,Quantum Mechanics SEM1 Y3,0,999,3,1,
PHYS_B_S1Y3,outside,20,Thermal Physics SEM1 Y3,0,999,3,1,
PHYS_C_S2Y3,outside,20,Electromagnetism SEM2 Y3,0,999,3,2,
PHYS_D_S2Y3,outside,20,Optics and Waves SEM2 Y3,0,999,3,2,
PHYS_A_S1Y4,outside,20,Quantum Mechanics SEM1 Y4,0,999,4,1,
PHYS_B_S1Y4,outside,20,Thermal Physics SEM1 Y4,0,999,4,1,
PHYS_C_S2Y4,outside,20,Electromagnetism SEM2 Y4,0,999,4,2,
PHYS_D_S2Y4,outside,20,Optics and Waves SEM2 Y4,0,999,4,2,
ECON_A_S1Y3,outside,20,Topics in Microeconomics SEM1 Y3,0,999,3,1,
ECON_B_S1Y3,outside,20,Essentials of Econometrics SEM1 Y3,0,999,3,1,
ECON_C_S2Y3,outside,20,Development Economics SEM2 Y3,0,999,3,2,
ECON_D_S2Y3,outside,20,International Trade SEM2 Y3,0,999,3,2,
ECON_A_S1Y4,outside,20,Topics in Microeconomics SEM1 Y4,0,999,4,1,
ECON_B_S1Y4,outside,20,Essentials of Econometrics SEM1 Y4,0,999,4,1,
ECON_C_S2Y4,outside,20,Development Economics SEM2 Y4,0,999,4,2,
ECON_D_S2Y4,outside,20,International Trade SEM2 Y4,0,999,4,2,
BUS_A_S1Y3,outside,20,Strategic Management SEM1 Y3,0,999,3,1,
BUS_B_S1Y3,outside,20,Marketing Strategy SEM1 Y3,0,999,3,1,
BUS_C_S2Y3,outside,20,Business Finance SEM2 Y3,0,999,3,2,
BUS_D_S2Y3,outside,20,Organisational Behaviour SEM2 Y3,0,999,3,2,
BUS_A_S1Y4,outside,20,Strategic Management SEM1 Y4,0,999,4,1,
BUS_B_S1Y4,outside,20,Marketing Strategy SEM1 Y4,0,999,4,1,
BUS_C_S2Y4,outside,20,Business Finance SEM2 Y4,0,999,4,2,
BUS_D_S2Y4,outside,20,Organisational Behaviour SEM2 Y4,0,999,4,2,
CS_A_S1Y3,outside,20,Machine Learning SEM1 Y3,0,999,3,1,
CS_B_S1Y3,outside,20,Computer Systems SEM1 Y3,0,999,3,1,
CS_C_S2Y3,outside,20,Software Engineering SEM2 Y3,0,999,3,2,
CS_D_S2Y3,outside,20,Database Systems SEM2 Y3,0,999,3,2,
CS_A_S1Y4,outside,20,Machine Learning SEM1 Y4,0,999,4,1,
CS_B_S1Y4,outside,20,Computer Systems SEM1 Y4,0,999,4,1,
CS_C_S2Y4,outside,20,Software Engineering SEM2 Y4,0,999,4,2,
CS_D_S2Y4,outside,20,Database Systems SEM2 Y4,0,999,4,2,
PHIL_A_S1Y3,outside,20,Epistemology SEM1 Y3,0,999,3,1,
PHIL_B_S1Y3,outside,20,Logic and Metaphysics SEM1 Y3,0,999,3,1,
PHIL_C_S2Y3,outside,20,Philosophy of Mind SEM2 Y3,0,999,3,2,
PHIL_D_S2Y3,outside,20,Ethics and Society SEM2 Y3,0,999,3,2,
PHIL_A_S1Y4,outside,20,Epistemology SEM1 Y4,0,999,4,1,
PHIL_B_S1Y4,outside,20,Logic and Metaphysics SEM1 Y4,0,999,4,1,
PHIL_C_S2Y4,outside,20,Philosophy of Mind SEM2 Y4,0,999,4,2,
PHIL_D_S2Y4,outside,20,Ethics and Society SEM2 Y4,0,999,4,2,
