course_id,course_name,course_kind,credits,year,semester,programme,students_enrolled
MATH10001,Gateway 1,gateway,20,3,1,ALL,1
MATH10001,Gateway 1,gateway,20,3,1,joint_cs,1
MATH10001,Gateway 1,gateway,20,4,1,ALL,220
MATH10001,Gateway 1,gateway,20,4,1,joint_bus,10
MATH10001,Gateway 1,gateway,20,4,1,joint_econ,20
MATH10001,Gateway 1,gateway,20,4,1,joint_phil,20
MATH10001,Gateway 1,gateway,20,4,1,joint_phys,20
MATH10001,Gateway 1,gateway,20,4,1,single,150
MATH10002,Gateway 2,gateway,20,3,2,ALL,0
MATH10002,Gateway 2,gateway,20,4,2,ALL,200
MATH10002,Gateway 2,gateway,20,4,2,joint_bus,10
MATH10002,Gateway 2,gateway,20,4,2,joint_phil,20
MATH10002,Gateway 2,gateway,20,4,2,joint_phys,20
MATH10002,Gateway 2,gateway,20,4,2,single,150
MATH10003,Gateway 3,gateway,20,3,2,ALL,191
MATH10003,Gateway 3,gateway,20,3,2,joint_cs,1
MATH10003,Gateway 3,gateway,20,3,2,joint_phil,20
MATH10003,Gateway 3,gateway,20,3,2,joint_phys,20
MATH10003,Gateway 3,gateway,20,3,2,single,150
MATH10003,Gateway 3,gateway,20,4,2,ALL,20
MATH10003,Gateway 3,gateway,20,4,2,joint_econ,20
MATH10004,Gateway 4,gateway,20,3,1,ALL,41
MATH10004,Gateway 4,gateway,20,3,1,joint_cs,1
MATH10004,Gateway 4,gateway,20,3,1,joint_phil,20
MATH10004,Gateway 4,gateway,20,3,1,joint_phys,20
MATH10004,Gateway 4,gateway,20,4,1,ALL,170
MATH10004,Gateway 4,gateway,20,4,1,joint_econ,20
MATH10004,Gateway 4,gateway,20,4,1,single,150
MATH10005,Gateway 5,gateway,20,3,1,ALL,220
MATH10005,Gateway 5,gateway,20,3,1,joint_bus,10
MATH10005,Gateway 5,gateway,20,3,1,joint_econ,20
MATH10005,Gateway 5,gateway,20,3,1,joint_phil,20
MATH10005,Gateway 5,gateway,20,3,1,joint_phys,20
