student_type_id,programme,number_students,students_taking,year,semester,course_id,course_name,course_kind,credits
type_0_sub0,single,30,30,3,1,MATH10005,Gateway 5,gateway,20
type_0_sub0,single,30,30,3,1,MATH10008,Gateway 8,gateway,20
type_0_sub0,single,30,30,3,1,MATH20004,Optional 4,optional,20
type_0_sub0,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub0,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub0,single,30,30,3,2,MATH20001,Optional 1,optional,20
type_0_sub0,single,30,30,4,1,MATH10001,Gateway 1,gateway,20
type_0_sub0,single,30,30,4,1,MATH10004,Gateway 4,gateway,20
type_0_sub0,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub0,single,30,30,4,2,MATH10002,Gateway 2,gateway,20
type_0_sub0,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub0,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_0_sub1,single,30,30,3,1,MATH10005,Gateway 5,gateway,20
type_0_sub1,single,30,30,3,1,MATH10008,Gateway 8,gateway,20
type_0_sub1,single,30,30,3,1,MATH20004,Optional 4,optional,20
type_0_sub1,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub1,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub1,single,30,30,3,2,MATH20001,Optional 1,optional,20
type_0_sub1,single,30,30,4,1,MATH10001,Gateway 1,gateway,20
type_0_sub1,single,30,30,4,1,MATH10004,Gateway 4,gateway,20
type_0_sub1,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub1,single,30,30,4,2,MATH10002,Gateway 2,gateway,20
type_0_sub1,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub1,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_0_sub2,single,30,30,3,1,MATH10005,Gateway 5,gateway,20
type_0_sub2,single,30,30,3,1,MATH10008,Gateway 8,gateway,20
type_0_sub2,single,30,30,3,1,MATH20004,Optional 4,optional,20
type_0_sub2,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub2,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub2,single,30,30,3,2,MATH20001,Optional 1,optional,20
type_0_sub2,single,30,30,4,1,MATH10001,Gateway 1,gateway,20
type_0_sub2,single,30,30,4,1,MATH10004,Gateway 4,gateway,20
type_0_sub2,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub2,single,30,30,4,2,MATH10002,Gateway 2,gateway,20
type_0_sub2,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub2,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_0_sub3,single,30,30,3,1,MATH10005,Gateway 5,gateway,20
type_0_sub3,single,30,30,3,1,MATH10008,Gateway 8,gateway,20
type_0_sub3,single,30,30,3,1,MATH20004,Optional 4,optional,20
type_0_sub3,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub3,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub3,single,30,30,3,2,MATH20001,Optional 1,optional,20
type_0_sub3,single,30,30,4,1,MATH10001,Gateway 1,gateway,20
type_0_sub3,single,30,30,4,1,MATH10004,Gateway 4,gateway,20
type_0_sub3,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub3,single,30,30,4,2,MATH10002,Gateway 2,gateway,20
type_0_sub3,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub3,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_0_sub4,single,30,30,3,1,MATH10005,Gateway 5,gateway,20
type_0_sub4,single,30,30,3,1,MATH10008,Gateway 8,gateway,20
type_0_sub4,single,30,30,3,1,MATH20004,Optional 4,optional,20
type_0_sub4,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
