student_type_id,programme,number_students,year,semester,day,time,course_1,component_1,type_1,course_2,component_2,type_2,severity
type_1,joint_cs,10,3,1,Fri,13:00,CS30001,fws,workshop,CS30002,fws,workshop,workshop_workshop
type_1,joint_cs,10,3,1,Mon,13:00,CS30001,Lec,lecture,CS30002,Lec,lecture,lecture_lecture
type_1,joint_cs,10,3,1,Thu,13:00,CS30001,Ws,workshop,CS30002,Ws,workshop,workshop_workshop
type_1,joint_cs,10,3,1,Tue,13:00,CS30001,Lec,lecture,CS30002,Lec,lecture,lecture_lecture
type_1,joint_cs,10,3,1,Wed,13:00,CS30001,Lec,lecture,CS30002,Lec,lecture,lecture_lecture
type_1,joint_cs,10,3,2,Fri,13:00,CS30007,Lec,lecture,CS30008,Lec,lecture,lecture_lecture
type_1,joint_cs,10,3,2,Mon,13:00,CS30007,fws,workshop,CS30008,fws,workshop,workshop_workshop
type_1,joint_cs,10,3,2,Thu,13:00,CS30007,Lec,lecture,CS30008,Lec,lecture,lecture_lecture
type_1,joint_cs,10,3,2,Tue,13:00,CS30007,Ws,workshop,CS30008,Ws,workshop,workshop_workshop
type_1,joint_cs,10,3,2,Wed,13:00,CS30007,Lec,lecture,CS30008,Lec,lecture,lecture_lecture
type_1,joint_cs,10,4,1,Fri,13:00,CS30005,fws,workshop,CS30006,fws,workshop,workshop_workshop
type_1,joint_cs,10,4,1,Mon,13:00,CS30005,Lec,lecture,CS30006,Lec,lecture,lecture_lecture
type_1,joint_cs,10,4,1,Thu,13:00,CS30005,Ws,workshop,CS30006,Ws,workshop,workshop_workshop
type_1,joint_cs,10,4,1,Tue,13:00,CS30005,Lec,lecture,CS30006,Lec,lecture,lecture_lecture
type_1,joint_cs,10,4,1,Wed,13:00,CS30005,Lec,lecture,CS30006,Lec,lecture,lecture_lecture
type_1,joint_cs,10,4,2,Fri,13:00,CS30003,Lec,lecture,CS30004,Lec,lecture,lecture_lecture
type_1,joint_cs,10,4,2,Mon,13:00,CS30003,fws,workshop,CS30004,fws,workshop,workshop_workshop
type_1,joint_cs,10,4,2,Thu,13:00,CS30003,Lec,lecture,CS30004,Lec,lecture,lecture_lecture
type_1,joint_cs,10,4,2,Tue,13:00,CS30003,Ws,workshop,CS30004,Ws,workshop,workshop_workshop
type_1,joint_cs,10,4,2,Wed,13:00,CS30003,Lec,lecture,CS30004,Lec,lecture,lecture_lecture
type_2,joint_phys,10,3,1,Fri,13:00,PHYS30001,fws,workshop,PHYS30002,fws,workshop,workshop_workshop
type_2,joint_phys,10,3,1,Mon,13:00,PHYS30001,Lec,lecture,PHYS30002,Lec,lecture,lecture_lecture
type_2,joint_phys,10,3,1,Thu,13:00,PHYS30001,Ws,workshop,PHYS30002,Ws,workshop,workshop_workshop
type_2,joint_phys,10,3,1,Tue,13:00,PHYS30001,Lec,lecture,PHYS30002,Lec,lecture,lecture_lecture
type_2,joint_phys,10,3,1,Wed,13:00,PHYS30001,Lec,lecture,PHYS30002,Lec,lecture,lecture_lecture
type_2,joint_phys,10,3,2,Fri,13:00,PHYS30007,Lec,lecture,PHYS30008,Lec,lecture,lecture_lecture
type_2,joint_phys,10,3,2,Mon,13:00,PHYS30007,fws,workshop,PHYS30008,fws,workshop,workshop_workshop
type_2,joint_phys,10,3,2,Thu,13:00,PHYS30007,Lec,lecture,PHYS30008,Lec,lecture,lecture_lecture
type_2,joint_phys,10,3,2,Tue,13:00,PHYS30007,Ws,workshop,PHYS30008,Ws,workshop,workshop_workshop
type_2,joint_phys,10,3,2,Wed,13:00,PHYS30007,Lec,lecture,PHYS30008,Lec,lecture,lecture_lecture
type_2,joint_phys,10,4,1,Fri,13:00,PHYS30005,fws,workshop,PHYS30006,fws,workshop,workshop_workshop
type_2,joint_phys,10,4,1,Mon,13:00,PHYS30005,Lec,lecture,PHYS30006,Lec,lecture,lecture_lecture
type_2,joint_phys,10,4,1,Thu,13:00,PHYS30005,Ws,workshop,PHYS30006,Ws,workshop,workshop_workshop
type_2,joint_phys,10,4,1,Tue,13:00,PHYS30005,Lec,lecture,PHYS30006,Lec,lecture,lecture_lecture
type_2,joint_phys,10,4,1,Wed,13:00,PHYS30005,Lec,lecture,PHYS30006,Lec,lecture,lecture_lecture
type_2,joint_phys,10,4,2,Fri,13:00,PHYS30003,Lec,lecture,PHYS30004,Lec,lecture,lecture_lecture
type_2,joint_phys,10,4,2,Mon,13:00,PHYS30003,fws,workshop,PHYS30004,fws,workshop,workshop_workshop
type_2,joint_phys,10,4,2,Thu,13:00,PHYS30003,Lec,lecture,PHYS30004,Lec,lecture,lecture_lecture
type_2,joint_phys,10,4,2,Tue,13:00,PHYS30003,Ws,workshop,PHYS30004,Ws,workshop,workshop_workshop
type_2,joint_phys,10,4,2,Wed,13:00,PHYS30003,Lec,lecture,PHYS30004,Lec,lecture,lecture_lecture
type_3,joint_econ,10,3,1,Fri,13:00,ECON30001,fws,workshop,ECON30002,fws,workshop,workshop_workshop
type_3,joint_econ,10,3,1,Mon,13:00,ECON30001,Lec,lecture,ECON30002,Lec,lecture,lecture_lecture
type_3,joint_econ,10,3,1,Thu,13:00,ECON30001,Ws,workshop,ECON30002,Ws,workshop,workshop_workshop
type_3,joint_econ,10,3,1,Tue,13:00,ECON30001,Lec,lecture,ECON30002,Lec,lecture,lecture_lecture
type_3,joint_econ,10,3,1,Wed,13:00,ECON30001,Lec,lecture,ECON30002,Lec,lecture,lecture_lecture
type_3,joint_econ,10,3,2,Fri,13:00,ECON30007,Lec,lecture,ECON30008,Lec,lecture,lecture_lecture
type_3,joint_econ,10,3,2,Mon,13:00,ECON30007,fws,workshop,ECON30008,fws,workshop,workshop_workshop
type_3,joint_econ,10,3,2,Thu,13:00,ECON30007,Lec,lecture,ECON30008,Lec,lecture,lecture_lecture
type_3,joint_econ,10,3,2,Tue,13:00,ECON30007,Ws,workshop,ECON30008,Ws,workshop,workshop_workshop
type_3,joint_econ,10,3,2,Wed,13:00,ECON30007,Lec,lecture,ECON30008,Lec,lecture,lecture_lecture
type_3,joint_econ,10,4,1,Fri,13:00,ECON30005,fws,workshop,ECON30006,fws,workshop,workshop_workshop
type_3,joint_econ,10,4,1,Mon,13:00,ECON30005,Lec,lecture,ECON30006,Lec,lecture,lecture_lecture
type_3,joint_econ,10,4,1,Thu,13:00,ECON30005,Ws,workshop,ECON30006,Ws,workshop,workshop_workshop
type_3,joint_econ,10,4,1,Tue,13:00,ECON30005,Lec,lecture,ECON30006,Lec,lecture,lecture_lecture
type_3,joint_econ,10,4,1,Wed,13:00,ECON30005,Lec,lecture,ECON30006,Lec,lecture,lecture_lecture
type_3,joint_econ,10,4,2,Fri,13:00,ECON30003,Lec,lecture,ECON30004,Lec,lecture,lecture_lecture
type_3,joint_econ,10,4,2,Mon,13:00,ECON30003,fws,workshop,ECON30004,fws,workshop,workshop_workshop
type_3,joint_econ,10,4,2,Thu,13:00,ECON30003,Lec,lecture,ECON30004,Lec,lecture,lecture_lecture
type_3,joint_econ,10,4,2,Tue,13:00,ECON30003,Ws,workshop,ECON30004,Ws,workshop,workshop_workshop
