student_type_id,programme,number_students,students_taking,year,semester,course_id,course_name,course_kind,credits
type_0_sub0,single,30,30,3,1,MATH10001,Gateway 1,gateway,20
type_0_sub0,single,30,30,3,1,MATH10002,Gateway 2,gateway,20
type_0_sub0,single,30,30,3,1,MATH20001,Optional 1,optional,20
type_0_sub0,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub0,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub0,single,30,30,3,2,MATH20004,Optional 4,optional,20
type_0_sub0,single,30,30,4,1,MATH10005,Gateway 5,gateway,20
type_0_sub0,single,30,30,4,1,MATH10008,Gateway 8,gateway,20
type_0_sub0,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub0,single,30,30,4,2,MATH10004,Gateway 4,gateway,20
type_0_sub0,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub0,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_0_sub1,single,30,30,3,1,MATH10001,Gateway 1,gateway,20
type_0_sub1,single,30,30,3,1,MATH10002,Gateway 2,gateway,20
type_0_sub1,single,30,30,3,1,MATH20001,Optional 1,optional,20
type_0_sub1,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub1,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub1,single,30,30,3,2,MATH20004,Optional 4,optional,20
type_0_sub1,single,30,30,4,1,MATH10005,Gateway 5,gateway,20
type_0_sub1,single,30,30,4,1,MATH10008,Gateway 8,gateway,20
type_0_sub1,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub1,single,30,30,4,2,MATH10004,Gateway 4,gateway,20
type_0_sub1,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub1,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_0_sub2,single,30,30,3,1,MATH10001,Gateway 1,gateway,20
type_0_sub2,single,30,30,3,1,MATH10002,Gateway 2,gateway,20
type_0_sub2,single,30,30,3,1,MATH20001,Optional 1,optional,20
type_0_sub2,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub2,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub2,single,30,30,3,2,MATH20004,Optional 4,optional,20
type_0_sub2,single,30,30,4,1,MATH10005,Gateway 5,gateway,20
type_0_sub2,single,30,30,4,1,MATH10008,Gateway 8,gateway,20
type_0_sub2,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub2,single,30,30,4,2,MATH10004,Gateway 4,gateway,20
type_0_sub2,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub2,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_0_sub3,single,30,30,3,1,MATH10001,Gateway 1,gateway,20
type_0_sub3,single,30,30,3,1,MATH10002,Gateway 2,gateway,20
type_0_sub3,single,30,30,3,1,MATH20001,Optional 1,optional,20
type_0_sub3,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub3,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub3,single,30,30,3,2,MATH20004,Optional 4,optional,20
type_0_sub3,single,30,30,4,1,MATH10005,Gateway 5,gateway,20
type_0_sub3,single,30,30,4,1,MATH10008,Gateway 8,gateway,20
type_0_sub3,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub3,single,30,30,4,2,MATH10004,Gateway 4,gateway,20
type_0_sub3,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub3,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_0_sub4,single,30,30,3,1,MATH10001,Gateway 1,gateway,20
type_0_sub4,single,30,30,3,1,MATH10002,Gateway 2,gateway,20
type_0_sub4,single,30,30,3,1,MATH20001,Optional 1,optional,20
type_0_sub4,single,30,30,3,2,MATH10003,Gateway 3,gateway,20
type_0_sub4,single,30,30,3,2,MATH10007,Gateway 7,gateway,20
type_0_sub4,single,30,30,3,2,MATH20004,Optional 4,optional,20
type_0_sub4,single,30,30,4,1,MATH10005,Gateway 5,gateway,20
type_0_sub4,single,30,30,4,1,MATH10008,Gateway 8,gateway,20
type_0_sub4,single,30,30,4,1,MATH20002,Optional 2,optional,20
type_0_sub4,single,30,30,4,2,MATH10004,Gateway 4,gateway,20
type_0_sub4,single,30,30,4,2,MATH10006,Gateway 6,gateway,20
type_0_sub4,single,30,30,4,2,MATH20003,Optional 3,optional,20
type_1,joint_cs,10,10,3,1,CS30001,Computer Science 1,outside,20
type_1,joint_cs,10,10,3,1,CS30002,Computer Science 2,outside,20
type_1,joint_cs,10,10,3,1,MATH10005,Gateway 5,gateway,20
type_1,joint_cs,10,10,3,2,CS30007,Computer Science 7,outside,20
type_1,joint_cs,10,10,3,2,CS30008,Computer Science 8,outside,20
type_1,joint_cs,10,10,3,2,MATH10007,Gateway 7,gateway,20
type_1,joint_cs,10,10,4,1,CS30005,Computer Science 5,outside,20
type_1,joint_cs,10,10,4,1,CS30006,Computer Science 6,outside,20
type_1,joint_cs,10,10,4,1,MATH10001,Gateway 1,gateway,20
type_1,joint_cs,10,10,4,2,CS30003,Computer Science 3,outside,20
type_1,joint_cs,10,10,4,2,CS30004,Computer Science 4,outside,20
type_1,joint_cs,10,10,4,2,MATH10004,Gateway 4,gateway,20
type_2,joint_phys,10,10,3,1,MATH10005,Gateway 5,gateway,20
type_2,joint_phys,10,10,3,1,PHYS30001,Physics 1,outside,20
type_2,joint_phys,10,10,3,1,PHYS30002,Physics 2,outside,20
type_2,joint_phys,10,10,3,2,MATH10003,Gateway 3,gateway,20
type_2,joint_phys,10,10,3,2,PHYS30007,Physics 7,outside,20
type_2,joint_phys,10,10,3,2,PHYS30008,Physics 8,outside,20
type_2,joint_phys,10,10,4,1,MATH10001,Gateway 1,gateway,20
type_2,joint_phys,10,10,4,1,PHYS30005,Physics 5,outside,20
type_2,joint_phys,10,10,4,1,PHYS30006,Physics 6,outside,20
type_2,joint_phys,10,10,4,2,MATH10004,Gateway 4,gateway,20
type_2,joint_phys,10,10,4,2,PHYS30003,Physics 3,outside,20
type_2,joint_phys,10,10,4,2,PHYS30004,Physics 4,outside,20
type_3,joint_econ,10,10,3,1,ECON30001,Economics 1,outside,20
type_3,joint_econ,10,10,3,1,ECON30002,Economics 2,outside,20
type_3,joint_econ,10,10,3,1,MATH10005,Gateway 5,gateway,20
type_3,joint_econ,10,10,3,2,ECON30007,Economics 7,outside,20
type_3,joint_econ,10,10,3,2,ECON30008,Economics 8,outside,20
type_3,joint_econ,10,10,3,2,MATH10007,Gateway 7,gateway,20
type_3,joint_econ,10,10,4,1,ECON30005,Economics 5,outside,20
type_3,joint_econ,10,10,4,1,ECON30006,Economics 6,outside,20
type_3,joint_econ,10,10,4,1,MATH10001,Gateway 1,gateway,20
type_3,joint_econ,10,10,4,2,ECON30003,Economics 3,outside,20
type_3,joint_econ,10,10,4,2,ECON30004,Economics 4,outside,20
type_3,joint_econ,10,10,4,2,MATH10004,Gateway 4,gateway,20
type_4,joint_bus,10,10,3,1,BUS30001,Business 1,outside,20
type_4,joint_bus,10,10,3,1,BUS30002,Business 2,outside,20
type_4,joint_bus,10,10,3,1,MATH10002,Gateway 2,gateway,20
type_4,joint_bus,10,10,3,2,BUS30004,Business 4,outside,20
type_4,joint_bus,10,10,3,2,BUS30008,Business 8,outside,20
type_4,joint_bus,10,10,3,2,MATH10003,Gateway 3,gateway,20
type_4,joint_bus,10,10,4,1,BUS30005,Business 5,outside,20
type_4,joint_bus,10,10,4,1,BUS30006,Business 6,outside,20
type_4,joint_bus,10,10,4,1,MATH10005,Gateway 5,gateway,20
type_4,joint_bus,10,10,4,2,BUS30003,Business 3,outside,20
type_4,joint_bus,10,10,4,2,BUS30007,Business 7,outside,20
type_4,joint_bus,10,10,4,2,MATH10006,Gateway 6,gateway,20
type_5,joint_phil,10,10,3,1,MATH10005,Gateway 5,gateway,20
type_5,joint_phil,10,10,3,1,PHIL30001,Philosophy 1,outside,20
type_5,joint_phil,10,10,3,1,PHIL30002,Philosophy 2,outside,20
type_5,joint_phil,10,10,3,2,MATH10006,Gateway 6,gateway,20
type_5,joint_phil,10,10,3,2,PHIL30004,Philosophy 4,outside,20
type_5,joint_phil,10,10,3,2,PHIL30008,Philosophy 8,outside,20
type_5,joint_phil,10,10,4,1,MATH10001,Gateway 1,gateway,20
type_5,joint_phil,10,10,4,1,PHIL30005,Philosophy 5,outside,20
type_5,joint_phil,10,10,4,1,PHIL30006,Philosophy 6,outside,20
type_5,joint_phil,10,10,4,2,MATH10003,Gateway 3,gateway,20
type_5,joint_phil,10,10,4,2,PHIL30003,Philosophy 3,outside,20
type_5,joint_phil,10,10,4,2,PHIL30007,Philosophy 7,outside,20
