course_id,course_name,course_kind,component_id,component_type,year,semester,day,period,time,week_pattern,timeslot_key_id
BUS30001,Business 1,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
BUS30001,Business 1,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
BUS30001,Business 1,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
BUS30001,Business 1,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
BUS30001,Business 1,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
BUS30002,Business 2,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
BUS30002,Business 2,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
BUS30002,Business 2,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
BUS30002,Business 2,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
BUS30002,Business 2,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
BUS30005,Business 5,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
BUS30005,Business 5,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
BUS30005,Business 5,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
BUS30005,Business 5,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
BUS30005,Business 5,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
BUS30006,Business 6,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
BUS30006,Business 6,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
BUS30006,Business 6,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
BUS30006,Business 6,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
BUS30006,Business 6,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
CS30001,Computer Science 1,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
CS30001,Computer Science 1,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
CS30001,Computer Science 1,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
CS30001,Computer Science 1,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
CS30001,Computer Science 1,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
CS30002,Computer Science 2,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
CS30002,Computer Science 2,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
CS30002,Computer Science 2,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
CS30002,Computer Science 2,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
CS30002,Computer Science 2,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
CS30005,Computer Science 5,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
CS30005,Computer Science 5,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
CS30005,Computer Science 5,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
CS30005,Computer Science 5,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
CS30005,Computer Science 5,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
CS30006,Computer Science 6,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
CS30006,Computer Science 6,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
CS30006,Computer Science 6,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
CS30006,Computer Science 6,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
CS30006,Computer Science 6,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
ECON30001,Economics 1,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
ECON30001,Economics 1,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
ECON30001,Economics 1,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
ECON30001,Economics 1,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
ECON30001,Economics 1,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
ECON30002,Economics 2,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
ECON30002,Economics 2,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
ECON30002,Economics 2,outside,Lec,lecture,3,1,Wed,4,13:00-14:00,every_week,Y3_S1_every_week_D2_P4
ECON30002,Economics 2,outside,Ws,workshop,3,1,Thu,4,13:00-14:00,every_week,Y3_S1_every_week_D3_P4
ECON30002,Economics 2,outside,fws,workshop,3,1,Fri,4,13:00-14:00,even_weeks,Y3_S1_even_weeks_D4_P4
ECON30005,Economics 5,outside,Lec,lecture,3,1,Mon,4,13:00-14:00,every_week,Y3_S1_every_week_D0_P4
ECON30005,Economics 5,outside,Lec,lecture,3,1,Tue,4,13:00-14:00,every_week,Y3_S1_every_week_D1_P4
