course_id,course_name,course_kind,credits,year,semester,programme,students_enrolled
MATH10066,Honours Differential Equations,gateway,20,3,1,ALL,272
MATH10066,Honours Differential Equations,gateway,20,3,1,joint_bus,27
MATH10066,Honours Differential Equations,gateway,20,3,1,joint_econ,6
MATH10066,Honours Differential Equations,gateway,20,3,1,joint_phil,39
MATH10066,Honours Differential Equations,gateway,20,3,1,single,200
MATH10066,Honours Differential Equations,gateway,20,4,1,ALL,146
MATH10066,Honours Differential Equations,gateway,20,4,1,joint_bus,8
MATH10066,Honours Differential Equations,gateway,20,4,1,joint_cs,43
MATH10066,Honours Differential Equations,gateway,20,4,1,joint_econ,32
MATH10066,Honours Differential Equations,gateway,20,4,1,joint_phil,20
MATH10066,Honours Differential Equations,gateway,20,4,1,joint_phys,43
MATH10068,Honours Analysis,gateway,20,3,1,ALL,121
MATH10068,Honours Analysis,gateway,20,3,1,joint_bus,10
MATH10068,Honours Analysis,gateway,20,3,1,joint_econ,57
MATH10068,Honours Analysis,gateway,20,3,1,joint_phil,16
MATH10068,Honours Analysis,gateway,20,3,1,joint_phys,38
MATH10068,Honours Analysis,gateway,20,4,1,ALL,274
MATH10068,Honours Analysis,gateway,20,4,1,joint_bus,20
MATH10068,Honours Analysis,gateway,20,4,1,joint_cs,40
MATH10068,Honours Analysis,gateway,20,4,1,joint_phil,11
MATH10068,Honours Analysis,gateway,20,4,1,joint_phys,3
MATH10068,Honours Analysis,gateway,20,4,1,single,200
MATH10072,Combinatorics and Graph Theory,gateway,20,3,1,ALL,112
MATH10072,Combinatorics and Graph Theory,gateway,20,3,1,joint_bus,27
MATH10072,Combinatorics and Graph Theory,gateway,20,3,1,joint_cs,36
MATH10072,Combinatorics and Graph Theory,gateway,20,3,1,joint_econ,8
MATH10072,Combinatorics and Graph Theory,gateway,20,3,1,joint_phil,10
MATH10072,Combinatorics and Graph Theory,gateway,20,3,1,joint_phys,31
MATH10072,Combinatorics and Graph Theory,gateway,20,4,1,ALL,290
MATH10072,Combinatorics and Graph Theory,gateway,20,4,1,joint_bus,5
MATH10072,Combinatorics and Graph Theory,gateway,20,4,1,joint_cs,8
MATH10072,Combinatorics and Graph Theory,gateway,20,4,1,joint_econ,25
MATH10072,Combinatorics and Graph Theory,gateway,20,4,1,joint_phil,44
MATH10072,Combinatorics and Graph Theory,gateway,20,4,1,joint_phys,8
MATH10072,Combinatorics and Graph Theory,gateway,20,4,1,single,200
MATH10082,Linear Analysis,gateway,20,3,1,ALL,289
MATH10082,Linear Analysis,gateway,20,3,1,joint_cs,40
MATH10082,Linear Analysis,gateway,20,3,1,joint_econ,8
MATH10082,Linear Analysis,gateway,20,3,1,joint_phil,25
MATH10082,Linear Analysis,gateway,20,3,1,joint_phys,16
MATH10082,Linear Analysis,gateway,20,3,1,single,200
MATH10082,Linear Analysis,gateway,20,4,1,ALL,89
MATH10082,Linear Analysis,gateway,20,4,1,joint_bus,38
MATH10082,Linear Analysis,gateway,20,4,1,joint_econ,24
MATH10082,Linear Analysis,gateway,20,4,1,joint_phil,5
MATH10082,Linear Analysis,gateway,20,4,1,joint_phys,22
MATH10067,Honours Complex Variables,gateway,20,3,2,ALL,149
MATH10067,Honours Complex Variables,gateway,20,3,2,joint_bus,16
MATH10067,Honours Complex Variables,gateway,20,3,2,joint_cs,41
MATH10067,Honours Complex Variables,gateway,20,3,2,joint_econ,27
MATH10067,Honours Complex Variables,gateway,20,3,2,joint_phil,46
MATH10067,Honours Complex Variables,gateway,20,3,2,joint_phys,19
MATH10067,Honours Complex Variables,gateway,20,4,2,ALL,226
MATH10067,Honours Complex Variables,gateway,20,4,2,joint_bus,11
MATH10067,Honours Complex Variables,gateway,20,4,2,joint_cs,3
MATH10067,Honours Complex Variables,gateway,20,4,2,joint_econ,6
MATH10067,Honours Complex Variables,gateway,20,4,2,joint_phys,6
MATH10067,Honours Complex Variables,gateway,20,4,2,single,200
MATH10069,Honours Algebra,gateway,20,3,2,ALL,91
MATH10069,Honours Algebra,gateway,20,3,2,joint_bus,8
MATH10069,Honours Algebra,gateway,20,3,2,joint_econ,27
MATH10069,Honours Algebra,gateway,20,3,2,joint_phil,24
MATH10069,Honours Algebra,gateway,20,3,2,joint_phys,32
MATH10069,Honours Algebra,gateway,20,4,2,ALL,271
MATH10069,Honours Algebra,gateway,20,4,2,joint_bus,30
MATH10069,Honours Algebra,gateway,20,4,2,joint_cs,35
MATH10069,Honours Algebra,gateway,20,4,2,joint_phil,3
MATH10069,Honours Algebra,gateway,20,4,2,joint_phys,3
MATH10069,Honours Algebra,gateway,20,4,2,single,200
MATH10071,Introduction to Number Theory,gateway,20,3,2,ALL,293
MATH10071,Introduction to Number Theory,gateway,20,3,2,joint_bus,16
MATH10071,Introduction to Number Theory,gateway,20,3,2,joint_cs,24
