student_type_id,programme,number_students,students_taking,year,semester,course_id,course_name,course_kind,credits
type_0_sub0,single,29,29,3,1,MATH10065,Fundamentals of Operational Research,optional,20
type_0_sub0,single,29,29,3,1,MATH10066,Honours Differential Equations,gateway,20
type_0_sub0,single,29,29,3,1,MATH10082,Linear Analysis,gateway,20
type_0_sub0,single,29,29,3,2,MATH10071,Introduction to Number Theory,gateway,20
type_0_sub0,single,29,29,3,2,MATH10080,Galois Theory,optional,20
type_0_sub0,single,29,29,3,2,MATH10101,Metric Spaces,gateway,20
type_0_sub0,single,29,29,4,1,MATH10028,Theory of Statistical Inference,optional,20
type_0_sub0,single,29,29,4,1,MATH10068,Honours Analysis,gateway,20
type_0_sub0,single,29,29,4,1,MATH10072,Combinatorics and Graph Theory,gateway,20
type_0_sub0,single,29,29,4,2,MATH10051,Fourier Analysis,optional,20
type_0_sub0,single,29,29,4,2,MATH10067,Honours Complex Variables,gateway,20
type_0_sub0,single,29,29,4,2,MATH10069,Honours Algebra,gateway,20
type_0_sub1,single,29,29,3,1,MATH10065,Fundamentals of Operational Research,optional,20
type_0_sub1,single,29,29,3,1,MATH10066,Honours Differential Equations,gateway,20
type_0_sub1,single,29,29,3,1,MATH10082,Linear Analysis,gateway,20
type_0_sub1,single,29,29,3,2,MATH10071,Introduction to Number Theory,gateway,20
type_0_sub1,single,29,29,3,2,MATH10080,Galois Theory,optional,20
type_0_sub1,single,29,29,3,2,MATH10101,Metric Spaces,gateway,20
type_0_sub1,single,29,29,4,1,MATH10028,Theory of Statistical Inference,optional,20
type_0_sub1,single,29,29,4,1,MATH10068,Honours Analysis,gateway,20
type_0_sub1,single,29,29,4,1,MATH10072,Combinatorics and Graph Theory,gateway,20
type_0_sub1,single,29,29,4,2,MATH10051,Fourier Analysis,optional,20
type_0_sub1,single,29,29,4,2,MATH10067,Honours Complex Variables,gateway,20
type_0_sub1,single,29,29,4,2,MATH10069,Honours Algebra,gateway,20
type_0_sub2,single,29,29,3,1,MATH10065,Fundamentals of Operational Research,optional,20
type_0_sub2,single,29,29,3,1,MATH10066,Honours Differential Equations,gateway,20
type_0_sub2,single,29,29,3,1,MATH10082,Linear Analysis,gateway,20
type_0_sub2,single,29,29,3,2,MATH10071,Introduction to Number Theory,gateway,20
type_0_sub2,single,29,29,3,2,MATH10080,Galois Theory,optional,20
type_0_sub2,single,29,29,3,2,MATH10101,Metric Spaces,gateway,20
type_0_sub2,single,29,29,4,1,MATH10028,Theory of Statistical Inference,optional,20
type_0_sub2,single,29,29,4,1,MATH10068,Honours Analysis,gateway,20
type_0_sub2,single,29,29,4,1,MATH10072,Combinatorics and Graph Theory,gateway,20
type_0_sub2,single,29,29,4,2,MATH10051,Fourier Analysis,optional,20
type_0_sub2,single,29,29,4,2,MATH10067,Honours Complex Variables,gateway,20
type_0_sub2,single,29,29,4,2,MATH10069,Honours Algebra,gateway,20
type_0_sub3,single,29,29,3,1,MATH10065,Fundamentals of Operational Research,optional,20
type_0_sub3,single,29,29,3,1,MATH10066,Honours Differential Equations,gateway,20
type_0_sub3,single,29,29,3,1,MATH10082,Linear Analysis,gateway,20
type_0_sub3,single,29,29,3,2,MATH10071,Introduction to Number Theory,gateway,20
type_0_sub3,single,29,29,3,2,MATH10080,Galois Theory,optional,20
type_0_sub3,single,29,29,3,2,MATH10101,Metric Spaces,gateway,20
type_0_sub3,single,29,29,4,1,MATH10028,Theory of Statistical Inference,optional,20
type_0_sub3,single,29,29,4,1,MATH10068,Honours Analysis,gateway,20
type_0_sub3,single,29,29,4,1,MATH10072,Combinatorics and Graph Theory,gateway,20
type_0_sub3,single,29,29,4,2,MATH10051,Fourier Analysis,optional,20
type_0_sub3,single,29,29,4,2,MATH10067,Honours Complex Variables,gateway,20
type_0_sub3,single,29,29,4,2,MATH10069,Honours Algebra,gateway,20
type_0_sub4,single,28,28,3,1,MATH10065,Fundamentals of Operational Research,optional,20
type_0_sub4,single,28,28,3,1,MATH10066,Honours Differential Equations,gateway,20
type_0_sub4,single,28,28,3,1,MATH10082,Linear Analysis,gateway,20
type_0_sub4,single,28,28,3,2,MATH10071,Introduction to Number Theory,gateway,20
type_0_sub4,single,28,28,3,2,MATH10080,Galois Theory,optional,20
type_0_sub4,single,28,28,3,2,MATH10101,Metric Spaces,gateway,20
type_0_sub4,single,28,28,4,1,MATH10028,Theory of Statistical Inference,optional,20
