student_type_id,programme,number_students,year,semester,day,time,course_1,component_1,type_1,course_2,component_2,type_2,severity
type_0_sub0,single,29,4,1,Mon,14:00,MATH_OP02,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_0_sub1,single,29,4,1,Mon,14:00,MATH_OP02,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_0_sub2,single,29,4,1,Mon,14:00,MATH_OP02,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_0_sub3,single,29,4,1,Mon,14:00,MATH_OP02,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_0_sub4,single,28,3,2,Tue,11:00,MATH_GW08,Ws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
type_0_sub4,single,28,4,1,Mon,14:00,MATH_OP02,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_0_sub4,single,28,4,2,Wed,17:00,MATH_GW07,Ws,workshop,MATH_OP03,Lec,lecture,lecture_workshop
type_0_sub5,single,28,4,1,Mon,14:00,MATH_OP02,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_0_sub5,single,28,4,2,Wed,13:00,MATH_GW06,fws,workshop,MATH_GW07,Lec,lecture,lecture_workshop
type_0_sub6,single,28,3,2,Thu,14:00,MATH_GW05,Ws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_0_sub6,single,28,4,1,Mon,14:00,MATH_OP02,Ws,workshop,MATH_GW01,Lec,lecture,lecture_workshop
type_13,joint_phys,5,3,2,Mon,11:00,MATH_GW08,Lec,lecture,PHYS_C_S2Y3,Lec,lecture,lecture_lecture
type_16,joint_econ,5,3,1,Mon,11:00,MATH_OP02,Lec,lecture,ECON_A_S1Y3,Lec,lecture,lecture_lecture
type_16,joint_econ,5,3,1,Wed,13:00,MATH_OP02,Lec,lecture,ECON_B_S1Y3,Lec,lecture,lecture_lecture
type_16,joint_econ,5,3,2,Thu,11:00,MATH_OP04,Ws,workshop,ECON_D_S2Y3,Lec,lecture,lecture_workshop
type_16,joint_econ,5,4,2,Wed,11:00,ECON_C_S2Y4,Ws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
type_17,joint_econ,3,4,1,Wed,11:00,MATH_GW01,Lec,lecture,ECON_A_S1Y4,Lec,lecture,lecture_lecture
type_18,joint_econ,3,4,1,Wed,11:00,MATH_GW01,Lec,lecture,ECON_A_S1Y4,Lec,lecture,lecture_lecture
type_18,joint_econ,3,4,2,Mon,10:00,MATH_GW07,Lec,lecture,ECON_C_S2Y4,Lec,lecture,lecture_lecture
type_19,joint_econ,3,3,1,Fri,10:00,ECON_A_S1Y3,Ws,workshop,MATH_GW04,Lec,lecture,lecture_workshop
type_19,joint_econ,3,3,1,Mon,11:00,MATH_OP02,Lec,lecture,ECON_A_S1Y3,Lec,lecture,lecture_lecture
type_19,joint_econ,3,4,2,Wed,16:00,MATH_GW08,Ws,workshop,ECON_D_S2Y4,fws,workshop,workshop_workshop
type_20,joint_econ,3,3,2,Wed,15:00,ECON_D_S2Y3,Ws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_22,joint_econ,3,4,1,Mon,10:00,ECON_B_S1Y4,Ws,workshop,MATH_GW02,Lec,lecture,lecture_workshop
type_23,joint_econ,3,3,2,Wed,15:00,ECON_D_S2Y3,Ws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_24,joint_econ,3,3,1,Fri,10:00,MATH_GW01,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_24,joint_econ,3,3,1,Mon,10:00,MATH_GW01,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_27,joint_econ,5,4,2,Mon,10:00,MATH_GW07,Lec,lecture,ECON_C_S2Y4,Lec,lecture,lecture_lecture
type_30,joint_econ,5,4,2,Mon,10:00,MATH_GW07,Lec,lecture,ECON_C_S2Y4,Lec,lecture,lecture_lecture
type_32,joint_bus,3,3,1,Thu,13:00,BUS_A_S1Y3,Ws,workshop,MATH_GW02,Lec,lecture,lecture_workshop
type_32,joint_bus,3,3,2,Mon,10:00,MATH_GW06,Lec,lecture,MATH_OP04,Lec,lecture,lecture_lecture
type_33,joint_bus,3,3,2,Fri,11:00,MATH_GW07,Ws,workshop,BUS_C_S2Y3,Ws,workshop,workshop_workshop
type_33,joint_bus,3,4,1,Thu,14:00,MATH_GW01,Ws,workshop,BUS_B_S1Y4,fws,workshop,workshop_workshop
type_34,joint_bus,3,4,1,Mon,13:00,MATH_GW04,Lec,lecture,BUS_A_S1Y4,Lec,lecture,lecture_lecture
type_34,joint_bus,3,4,1,Mon,17:00,MATH_GW02,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_34,joint_bus,3,4,2,Wed,13:00,MATH_GW06,fws,workshop,BUS_D_S2Y4,Lec,lecture,lecture_workshop
type_35,joint_bus,3,3,2,Fri,11:00,MATH_GW07,Ws,workshop,BUS_C_S2Y3,Ws,workshop,workshop_workshop
type_36,joint_bus,3,4,1,Mon,17:00,MATH_GW02,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_36,joint_bus,3,4,2,Fri,10:00,MATH_GW08,fws,workshop,BUS_C_S2Y4,Ws,workshop,workshop_workshop
type_37,joint_bus,3,3,2,Fri,11:00,MATH_GW07,Ws,workshop,BUS_C_S2Y3,Ws,workshop,workshop_workshop
type_37,joint_bus,3,4,2,Mon,11:00,MATH_GW06,Lec,lecture,BUS_C_S2Y4,Lec,lecture,lecture_lecture
type_38,joint_bus,3,3,2,Fri,11:00,MATH_GW07,Ws,workshop,BUS_C_S2Y3,Ws,workshop,workshop_workshop
type_39,joint_bus,3,4,2,Wed,13:00,MATH_GW06,fws,workshop,BUS_D_S2Y4,Lec,lecture,lecture_workshop
type_4,joint_phys,3,4,1,Mon,10:00,MATH_GW02,Lec,lecture,PHYS_A_S1Y4,Lec,lecture,lecture_lecture
type_41,joint_bus,3,4,1,Thu,14:00,MATH_GW01,Ws,workshop,BUS_B_S1Y4,fws,workshop,workshop_workshop
type_42,joint_bus,5,3,2,Thu,10:00,MATH_GW06,Lec,lecture,BUS_D_S2Y3,Lec,lecture,lecture_lecture
type_42,joint_bus,5,4,1,Mon,13:00,MATH_GW04,Lec,lecture,BUS_A_S1Y4,Lec,lecture,lecture_lecture
type_43,joint_bus,5,3,1,Thu,10:00,BUS_B_S1Y3,Ws,workshop,MATH_GW02,Lec,lecture,lecture_workshop
type_43,joint_bus,5,4,1,Mon,13:00,MATH_GW03,Lec,lecture,BUS_A_S1Y4,Lec,lecture,lecture_lecture
type_43,joint_bus,5,4,2,Wed,11:00,MATH_GW05,Lec,lecture,MATH_GW08,Lec,lecture,lecture_lecture
type_45,joint_bus,5,3,2,Fri,11:00,MATH_GW07,Ws,workshop,BUS_C_S2Y3,Ws,workshop,workshop_workshop
type_45,joint_bus,5,4,1,Mon,13:00,MATH_GW04,Lec,lecture,BUS_A_S1Y4,Lec,lecture,lecture_lecture
type_45,joint_bus,5,4,1,Mon,17:00,MATH_GW02,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_46,joint_cs,5,4,1,Wed,13:00,MATH_GW01,Lec,lecture,CS_B_S1Y4,Lec,lecture,lecture_lecture
type_47,joint_cs,3,4,1,Fri,10:00,CS_A_S1Y4,Ws,workshop,MATH_GW03,Lec,lecture,lecture_workshop
type_48,joint_cs,3,3,1,Wed,11:00,CS_A_S1Y3,Ws,workshop,MATH_GW03,Lec,lecture,lecture_workshop
type_49,joint_cs,3,4,1,Fri,10:00,CS_A_S1Y4,Ws,workshop,MATH_GW04,Lec,lecture,lecture_workshop
type_5,joint_phys,3,3,2,Wed,17:00,MATH_GW07,Lec,lecture,PHYS_D_S2Y3,Lec,lecture,lecture_lecture
type_50,joint_cs,3,3,1,Wed,11:00,CS_A_S1Y3,Ws,workshop,MATH_GW03,Lec,lecture,lecture_workshop
type_50,joint_cs,3,4,1,Fri,10:00,CS_A_S1Y4,Ws,workshop,MATH_GW04,Lec,lecture,lecture_workshop
type_51,joint_cs,3,3,1,Tue,10:00,MATH_GW04,Lec,lecture,CS_B_S1Y3,Lec,lecture,lecture_lecture
type_51,joint_cs,3,4,1,Wed,13:00,MATH_GW01,Lec,lecture,CS_B_S1Y4,Lec,lecture,lecture_lecture
type_52,joint_cs,3,3,2,Thu,14:00,CS_D_S2Y3,fws,workshop,MATH_GW08,Lec,lecture,lecture_workshop
type_52,joint_cs,3,4,2,Wed,13:00,MATH_GW06,fws,workshop,MATH_GW07,Lec,lecture,lecture_workshop
type_54,joint_cs,3,3,2,Thu,14:00,MATH_GW05,Ws,workshop,CS_D_S2Y3,fws,workshop,workshop_workshop
type_54,joint_cs,3,3,2,Tue,11:00,CS_D_S2Y3,Ws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
type_54,joint_cs,3,4,1,Fri,10:00,MATH_GW03,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_54,joint_cs,3,4,1,Mon,13:00,MATH_GW03,Lec,lecture,MATH_GW04,Lec,lecture,lecture_lecture
type_56,joint_cs,3,4,1,Mon,11:00,MATH_OP02,Lec,lecture,CS_A_S1Y4,Lec,lecture,lecture_lecture
type_56,joint_cs,3,4,1,Tue,17:00,CS_A_S1Y4,fws,workshop,MATH_OP02,Lec,lecture,lecture_workshop
type_57,joint_cs,5,3,1,Mon,10:00,MATH_GW04,Lec,lecture,CS_A_S1Y3,Lec,lecture,lecture_lecture
type_57,joint_cs,5,3,1,Thu,15:00,MATH_GW04,fws,workshop,CS_A_S1Y3,fws,workshop,workshop_workshop
type_57,joint_cs,5,4,1,Wed,13:00,MATH_GW01,Lec,lecture,CS_B_S1Y4,Lec,lecture,lecture_lecture
type_59,joint_cs,5,3,1,Mon,10:00,MATH_GW01,Lec,lecture,CS_A_S1Y3,Lec,lecture,lecture_lecture
type_6,joint_phys,3,3,1,Wed,17:00,MATH_GW01,Lec,lecture,PHYS_B_S1Y3,Lec,lecture,lecture_lecture
type_6,joint_phys,3,4,2,Wed,16:00,MATH_GW08,Ws,workshop,PHYS_C_S2Y4,fws,workshop,workshop_workshop
type_60,joint_cs,5,3,1,Tue,10:00,MATH_GW04,Lec,lecture,CS_B_S1Y3,Lec,lecture,lecture_lecture
type_60,joint_cs,5,4,2,Wed,14:00,CS_C_S2Y4,fws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
type_62,joint_phil,3,4,2,Mon,14:00,PHIL_D_S2Y4,fws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
type_63,joint_phil,3,4,1,Tue,13:00,MATH_GW03,Lec,lecture,PHIL_A_S1Y4,Lec,lecture,lecture_lecture
type_63,joint_phil,3,4,2,Mon,14:00,PHIL_D_S2Y4,fws,workshop,MATH_GW05,Lec,lecture,lecture_workshop
type_64,joint_phil,3,3,2,Mon,11:00,MATH_GW08,Lec,lecture,PHIL_C_S2Y3,Lec,lecture,lecture_lecture
