student_type_id,programme,number_students,students_taking,year,semester,course_id,course_name,course_kind,credits
type_0_sub0,single,29,29,3,1,MATH_OP02,MATH_OP02,optional,20
type_0_sub0,single,29,29,3,1,MATH_GW01,MATH_GW01,gateway,20
type_0_sub0,single,29,29,3,1,MATH_GW02,MATH_GW02,gateway,20
type_0_sub0,single,29,29,3,2,MATH_OP03,MATH_OP03,optional,20
type_0_sub0,single,29,29,3,2,MATH_GW05,MATH_GW05,gateway,20
type_0_sub0,single,29,29,3,2,MATH_GW07,MATH_GW07,gateway,20
type_0_sub0,single,29,29,4,1,MATH_OP01,MATH_OP01,optional,20
type_0_sub0,single,29,29,4,1,MATH_GW03,MATH_GW03,gateway,20
type_0_sub0,single,29,29,4,1,MATH_GW04,MATH_GW04,gateway,20
type_0_sub0,single,29,29,4,2,MATH_GW06,MATH_GW06,gateway,20
type_0_sub0,single,29,29,4,2,MATH_OP04,MATH_OP04,optional,20
type_0_sub0,single,29,29,4,2,MATH_GW08,MATH_GW08,gateway,20
type_0_sub1,single,29,29,3,1,MATH_OP02,MATH_OP02,optional,20
type_0_sub1,single,29,29,3,1,MATH_GW01,MATH_GW01,gateway,20
type_0_sub1,single,29,29,3,1,MATH_GW02,MATH_GW02,gateway,20
type_0_sub1,single,29,29,3,2,MATH_OP03,MATH_OP03,optional,20
type_0_sub1,single,29,29,3,2,MATH_GW05,MATH_GW05,gateway,20
type_0_sub1,single,29,29,3,2,MATH_GW07,MATH_GW07,gateway,20
type_0_sub1,single,29,29,4,1,MATH_OP01,MATH_OP01,optional,20
type_0_sub1,single,29,29,4,1,MATH_GW03,MATH_GW03,gateway,20
type_0_sub1,single,29,29,4,1,MATH_GW04,MATH_GW04,gateway,20
type_0_sub1,single,29,29,4,2,MATH_GW06,MATH_GW06,gateway,20
type_0_sub1,single,29,29,4,2,MATH_OP04,MATH_OP04,optional,20
type_0_sub1,single,29,29,4,2,MATH_GW08,MATH_GW08,gateway,20
type_0_sub2,single,29,29,3,1,MATH_OP02,MATH_OP02,optional,20
type_0_sub2,single,29,29,3,1,MATH_GW01,MATH_GW01,gateway,20
type_0_sub2,single,29,29,3,1,MATH_GW02,MATH_GW02,gateway,20
type_0_sub2,single,29,29,3,2,MATH_OP03,MATH_OP03,optional,20
type_0_sub2,single,29,29,3,2,MATH_GW05,MATH_GW05,gateway,20
type_0_sub2,single,29,29,3,2,MATH_GW07,MATH_GW07,gateway,20
type_0_sub2,single,29,29,4,1,MATH_OP01,MATH_OP01,optional,20
type_0_sub2,single,29,29,4,1,MATH_GW03,MATH_GW03,gateway,20
type_0_sub2,single,29,29,4,1,MATH_GW04,MATH_GW04,gateway,20
type_0_sub2,single,29,29,4,2,MATH_GW06,MATH_GW06,gateway,20
type_0_sub2,single,29,29,4,2,MATH_OP04,MATH_OP04,optional,20
type_0_sub2,single,29,29,4,2,MATH_GW08,MATH_GW08,gateway,20
type_0_sub3,single,29,29,3,1,MATH_OP02,MATH_OP02,optional,20
type_0_sub3,single,29,29,3,1,MATH_GW01,MATH_GW01,gateway,20
type_0_sub3,single,29,29,3,1,MATH_GW02,MATH_GW02,gateway,20
type_0_sub3,single,29,29,3,2,MATH_OP03,MATH_OP03,optional,20
type_0_sub3,single,29,29,3,2,MATH_GW05,MATH_GW05,gateway,20
type_0_sub3,single,29,29,3,2,MATH_GW07,MATH_GW07,gateway,20
type_0_sub3,single,29,29,4,1,MATH_OP01,MATH_OP01,optional,20
type_0_sub3,single,29,29,4,1,MATH_GW03,MATH_GW03,gateway,20
type_0_sub3,single,29,29,4,1,MATH_GW04,MATH_GW04,gateway,20
type_0_sub3,single,29,29,4,2,MATH_GW06,MATH_GW06,gateway,20
type_0_sub3,single,29,29,4,2,MATH_OP04,MATH_OP04,optional,20
type_0_sub3,single,29,29,4,2,MATH_GW08,MATH_GW08,gateway,20
type_0_sub4,single,28,28,3,1,MATH_OP02,MATH_OP02,optional,20
type_0_sub4,single,28,28,3,1,MATH_GW01,MATH_GW01,gateway,20
type_0_sub4,single,28,28,3,1,MATH_GW02,MATH_GW02,gateway,20
type_0_sub4,single,28,28,3,2,MATH_OP03,MATH_OP03,optional,20
type_0_sub4,single,28,28,3,2,MATH_GW05,MATH_GW05,gateway,20
type_0_sub4,single,28,28,3,2,MATH_GW07,MATH_GW07,gateway,20
type_0_sub4,single,28,28,4,1,MATH_OP01,MATH_OP01,optional,20
type_0_sub4,single,28,28,4,1,MATH_GW03,MATH_GW03,gateway,20
type_0_sub4,single,28,28,4,1,MATH_GW04,MATH_GW04,gateway,20
type_0_sub4,single,28,28,4,2,MATH_GW06,MATH_GW06,gateway,20
type_0_sub4,single,28,28,4,2,MATH_OP04,MATH_OP04,optional,20
type_0_sub4,single,28,28,4,2,MATH_GW08,MATH_GW08,gateway,20
type_0_sub5,single,28,28,3,1,MATH_OP02,MATH_OP02,optional,20
type_0_sub5,single,28,28,3,1,MATH_GW01,MATH_GW01,gateway,20
type_0_sub5,single,28,28,3,1,MATH_GW02,MATH_GW02,gateway,20
type_0_sub5,single,28,28,3,2,MATH_OP03,MATH_OP03,optional,20
type_0_sub5,single,28,28,3,2,MATH_GW05,MATH_GW05,gateway,20
type_0_sub5,single,28,28,3,2,MATH_GW07,MATH_GW07,gateway,20
type_0_sub5,single,28,28,4,1,MATH_OP01,MATH_OP01,optional,20
type_0_sub5,single,28,28,4,1,MATH_GW03,MATH_GW03,gateway,20
type_0_sub5,single,28,28,4,1,MATH_GW04,MATH_GW04,gateway,20
type_0_sub5,single,28,28,4,2,MATH_GW06,MATH_GW06,gateway,20
type_0_sub5,single,28,28,4,2,MATH_OP04,MATH_OP04,optional,20
